,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
35,78,132,89,10,0,87.64,7,caught,1,,v England,The Oval,9 Sep 2011,ODI # 3189
36,0*,1,0,0,0,-,7,not out,1,,v England,Lord's,11 Sep 2011,ODI # 3191
37,0,2,1,0,0,0.00,7,caught,1,,v England,Cardiff,16 Sep 2011,ODI # 3195
38,27,32,22,1,2,122.72,7,run out,1,,v England,Hyderabad,14 Oct 2011,ODI # 3199
39,DNB,-,-,-,-,-,-,-,2,,v England,Delhi,17 Oct 2011,ODI # 3201
40,26*,38,24,2,0,108.33,7,not out,2,,v England,Mohali,20 Oct 2011,ODI # 3205
41,DNB,-,-,-,-,-,-,-,2,,v England,Wankhede,23 Oct 2011,ODI # 3207
42,21,27,21,2,0,100.00,7,caught,1,,v England,Eden Gardens,25 Oct 2011,ODI # 3210
43,38,73,62,3,0,61.29,7,caught,2,,v West Indies,Cuttack,29 Nov 2011,ODI # 3217
44,9*,13,8,1,0,112.50,7,not out,2,,v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
45,11,25,16,2,0,68.75,7,run out,2,,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
46,10,14,10,0,0,100.00,4,caught,1,,v West Indies,Indore,8 Dec 2011,ODI # 3223
47,DNB,-,-,-,-,-,-,-,1,,v West Indies,Chennai,11 Dec 2011,ODI # 3224
48,19,34,25,0,0,76.00,7,caught,2,,v Australia,Melbourne,5 Feb 2012,ODI # 3231
49,24*,57,28,1,0,85.71,7,not out,2,,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
50,12,11,8,0,0,150.00,7,caught,2,,v Australia,Adelaide,12 Feb 2012,ODI # 3237
51,3,14,10,0,0,30.00,7,caught,2,,v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
52,18,29,35,1,0,51.42,7,caught,2,,v Australia,Brisbane,19 Feb 2012,ODI # 3244
53,17,35,21,1,0,80.95,6,bowled,2,,v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
54,8,30,17,1,0,47.05,7,caught,2,,v Australia,Sydney,26 Feb 2012,ODI # 3250
55,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
56,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
57,4*,8,2,0,0,200.00,7,not out,1,,v Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
58,13,34,23,0,0,56.52,8,caught,2,,v Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
59,27,71,39,0,2,69.23,8,caught,1,,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
60,7,17,9,0,0,77.77,7,bowled,2,,v England,Rajkot,11 Jan 2013,ODI # 3318
61,61*,60,37,8,2,164.86,7,not out,1,,v England,Kochi,15 Jan 2013,ODI # 3320
62,DNB,-,-,-,-,-,-,-,2,,v England,Ranchi,19 Jan 2013,ODI # 3322
